gene	group
328	gbr.71.33_gbr.71.34	pink
329	gbr.480.9	turquoise
330	gbr.157.13	blue
331	gbr.20.103	red
332	gbr.172.3	pink
333	gbr.39.34	grey
334	gbr.70.47	green
335	gbr.343.20	pink
336	gbr.48.34	turquoise
337	gbr.210.1	grey
338	gbr.225.39	blue
339	gbr.303.6	yellow
340	gbr.35.34	grey
341	gbr.106.21	yellow
342	gbr.3.24	pink
343	gbr.25.223	grey
344	gbr.7.12	grey
345	gbr.66.17	yellow
346	gbr.18.16	grey
347	gbr.391.20	yellow
348	gbr.478.6	blue
349	gbr.54.62	brown
350	gbr.75.17	blue
351	gbr.106.22_gbr.106.23	brown
352	gbr.35.88	grey
353	gbr.253.34	green
354	gbr.15.116	blue
355	gbr.132.10	grey
356	gbr.26.56_gbr.26.57_gbr.26.54	green
357	gbr.92.4	grey
358	gbr.381.7	grey
359	gbr.104.16	grey
360	gbr.107.14	cyan
361	gbr.380.13_gbr.380.11	grey
362	gbr.125.22	grey
363	gbr.377.10	grey
364	gbr.73.21	blue
365	gbr.265.12_gbr.265.13	black
366	gbr.245.19	blue
367	gbr.23.8	pink
368	gbr.53.56	blue
369	gbr.64.50	grey
370	gbr.90.40	pink
371	gbr.58.142	grey
372	gbr.11.115	grey
373	gbr.152.26	grey
374	gbr.45.12	red
375	gbr.64.46	grey
376	gbr.527.2	pink
377	gbr.21.64	grey
378	gbr.51.5	green
379	gbr.228.17	yellow
380	gbr.6.158	grey
381	gbr.11.149	yellow
382	gbr.280.10	yellow
383	gbr.36.37	blue
384	gbr.90.49	grey
385	gbr.124.10	grey
386	gbr.131.28	blue
387	gbr.11.139	yellow
388	gbr.40.163	red
389	gbr.41.2	green
390	gbr.25.88	grey
391	gbr.147.2	yellow
392	gbr.102.1	green
393	gbr.29.44	blue
394	gbr.174.29	grey
395	gbr.19.176	yellow
396	gbr.177.1	grey
397	gbr.271.17	pink
398	gbr.222.14	turquoise
399	gbr.85.7	green
400	gbr.15.46	grey
401	gbr.131.19	red
402	gbr.118.15	red
403	gbr.183.13	grey
404	gbr.58.147	blue
405	gbr.3.139	tan
406	gbr.368.13	blue
407	gbr.89.3	turquoise
408	gbr.59.47	green
409	gbr.7.49	grey
410	gbr.40.134	grey
411	gbr.7.155	green
412	gbr.332.9	grey
413	gbr.15.84_gbr.15.86_gbr.15.87	red
414	gbr.383.8	grey
415	gbr.36.17	green
416	gbr.20.53	grey
417	gbr.49.2	blue
418	gbr.38.11_gbr.38.10	grey
419	gbr.19.171	red
420	gbr.374.6	green
421	gbr.44.96	blue
422	gbr.161.27	green
423	gbr.39.80	grey
424	gbr.29.60	black
425	gbr.17.113	blue
426	gbr.43.25	red
427	gbr.107.28	black
428	gbr.247.28_gbr.247.25	turquoise
429	gbr.12.17	grey
430	gbr.127.37	pink
431	gbr.494.4_gbr.494.5	red
432	gbr.146.15	pink
433	gbr.168.21	pink
434	gbr.58.171	red
435	gbr.280.4	grey
436	gbr.520.9	blue
437	gbr.30.46	grey
438	gbr.11.99	grey
439	gbr.456.10	blue
440	gbr.36.34	tan
441	gbr.41.98	yellow
442	gbr.6.51	grey
443	gbr.65.22	green
444	gbr.90.43	blue
445	gbr.46.4	yellow
446	gbr.38.42	grey
447	gbr.449.22	grey
448	gbr.14.125	grey
449	gbr.259.20	grey
450	gbr.354.4_gbr.354.5	grey
451	gbr.253.29	grey
452	gbr.295.5	grey
453	gbr.47.25	grey
454	gbr.27.38	yellow
455	gbr.357.9	grey
456	gbr.253.25	grey
457	gbr.445.6	red
458	gbr.33.43	yellow
459	gbr.23.53	green
460	gbr.360.20_gbr.360.21	turquoise
461	gbr.16.107_gbr.16.100	grey
462	gbr.18.55_gbr.18.53_gbr.18.56	turquoise
463	gbr.72.124	grey
464	gbr.16.41	yellow
465	gbr.21.12	blue
466	gbr.59.54_gbr.59.53	turquoise
467	gbr.18.26_gbr.18.27	blue
468	gbr.872.2	grey
469	gbr.347.31	grey
