"","Row.names","MMpink","MMcyan","MMyellow","MMblue","MMpurple","MMgreenyellow","MMgreen","MMred","MMsalmon","MMtan","MMmagenta","MMturquoise","MMblack","MMbrown","MMgrey","Co_female","Co_male","Co_winter","Pa_female","Pa_male","Pa_winter","RN_female","RN_male","RN_winter","Sk_female","Sk_male","Sk_winter","Sp_female","Sp_male","Sp_winter","ST_female","ST_male","ST_winter","TF_female","TF_male","TF_winter","ALL_summer","ALL_winter","ALL_female_smr","ALL_male_smr"
"987","gbr.13.34",0.566019225962115,0.270640783184592,0.292821447324811,-0.0170134382624629,-0.0502582917320987,0.0695973136929801,-0.230209474707332,-0.199730961533313,-0.0370286597094738,-0.301255391957418,0.0563844385935833,0.0352813728617354,-0.200635622428989,-0.275027525587305,0.0281162282545899,0.183690391284856,0.14940855369903,-0.0368536559413018,0.123374980926456,-0.1283060027614,-0.235990778319145,-0.0731519721696241,0.0596780145460526,-0.207254474125799,-0.0647381828589425,0.00475755814729727,-0.212487684098134,0.20322161224476,0.16543539399067,0.0813900829243529,0.138356887948449,0.0671179073174208,0.0087449195104331,-0.00844742461024658,-0.086202820867971,-0.113059397043418,0.337921278693195,-0.337921278693196,0.232066256449243,0.101831983493444
"1007","gbr.13.82",0.655762677217074,0.386464090451327,0.469156148102992,0.0777877701988335,0.0416901729954357,-0.142644613194192,-0.391142689959068,-0.410117535371942,-0.0736574842710219,-0.342699828547489,0.0136479081113653,-0.0204131652584405,-0.234752474966889,-0.326885293866945,-0.0137782173713738,0.374937421065331,0.269408719908821,-0.0845282934769259,0.104023745500846,-0.125260564659756,-0.112926560970983,0.0932279490732185,-0.16828311240341,-0.223230174141642,0.0259252919876808,-0.10122698255769,-0.191537283161342,0.210903782006498,0.0108461841805056,0.0138974842341378,0.107950086518446,-0.13317037496866,-0.0887588774614977,0.102362260049853,-0.0596710337713065,-0.084804155905459,0.353805655361953,-0.353805655361953,0.47093222806011,-0.131628514852206
"1038","gbr.131.13",0.651048649708634,0.156920272424987,0.470680308408425,0.277244144285267,0.141497245667628,-0.174884470285582,-0.237640899151288,-0.298872241117117,-0.251591424318844,-0.494271485593743,0.081064789773096,-0.384636696201171,-0.403135796283397,-0.167237249777652,-0.337237800131449,0.235130211740449,0.168767121624919,0.109575804934095,0.0940074439280271,-0.126185343294743,0.00882557761528795,0.128386351179374,-0.167898810914652,0.137104412448252,-0.0682402252955246,-0.164488966851368,-0.204019261155612,0.122463128404855,-0.00624395458179237,0.254319487608621,0.0676772906482445,-0.202887059080725,0.0119803327604669,-0.126647073957305,-0.296043296078817,-0.000147251703232091,-0.129388746617458,0.129388746617458,0.209183707830003,-0.350485353340563
"1103","gbr.134.17",0.569509698671487,0.0173081946092491,0.239438116137328,0.264512590125802,0.123139427825491,0.00757217638925338,-0.0361027517916901,-0.146441225568115,0.208625565810078,-0.151116853749435,-0.289710872704102,-0.0986617430321644,-0.35394681850589,-0.415717907759063,-0.108067954994516,0.205875061333482,0.167824952501709,0.0677346009776843,0.0616681877182381,-0.10429174778444,-0.218819594026943,0.0767910055720482,-0.0718808132285029,0.00460877046554713,-0.261318002391897,-0.108030374005491,-0.198942320321113,0.182198726420568,-0.148283729477297,-0.0871895142187981,0.248471135273341,-0.00718504487507524,0.0197172756952289,0.13199345820503,0.0124739354855053,0.013875194337396,0.194350182393101,-0.194350182393101,0.298304925357638,-0.113709064570303
"1270","gbr.14.142",0.60084158944924,0.246239698983081,0.300266658655815,0.0229186918989448,0.0635409812119945,-0.137332217819439,-0.18669423487655,-0.233445841834013,0.060276405362319,-0.0850209233232474,-0.131518876471073,0.0105088483878433,-0.125342015800948,-0.186638084626072,0.0508541138721354,0.177469602346294,0.0669322849195775,0.128224035863618,0.177838624400119,-0.0856109543867312,-0.0428954571143723,-0.0381102912078991,-0.0143676528405968,-0.120804190477234,0.0840903603116093,-0.207018595309999,-0.112760516455508,0.0711893680969179,-0.170957957869367,-0.0404885046677426,0.130085934560702,-0.0135735663022789,-0.0127174725485064,0.130804015824076,0.0553332632596561,-0.163422556284976,0.185386783183707,-0.185386783183707,0.338816931641506,-0.165184292024076
"1271","gbr.14.143",0.597378853489712,0.46692604024152,0.214393252310951,-0.303768480617457,-0.064533671317954,0.14397013950224,-0.422507740858622,-0.11801068248345,-0.0323626339929285,-0.216393017974959,0.200487215178795,0.221980568767438,0.111847023700132,0.0232606785029222,0.298247652144884,0.154728807151374,0.0208068138225842,0.000213853548589262,0.23827720288111,0.0770530219213374,0.0420341342965082,-0.226000369208761,-0.197182289781336,-0.234301045568398,-0.0576266932273155,-0.0582005003942758,-0.13451554895477,0.241098145017343,0.0640334944781522,0.0793650175820396,0.129370840654818,-0.0371561831608197,-0.0711313903149669,0.10892464863326,-0.0521879677011305,-0.115186455497878,0.205705376585556,-0.205705376585556,0.272013810994885,-0.0746591838486046
"1441","gbr.144.6",0.755057749963485,0.102072324591406,0.152905233976017,0.0587955916802171,-0.1486584798074,-0.0998106244774949,-0.111671103656665,-0.134984802112901,-0.0688759259214126,-0.278606454200656,-0.0184376300715281,0.085360926157849,-0.15209849458762,-0.257833201202208,0.0469397389756354,0.18725877742245,0.0431067890180526,-0.151610505994358,0.113478626581642,0.0113027840013361,-0.0968226608259884,0.0951791154316231,0.0409546730455116,-0.0162742322700419,-0.0575532901456041,-0.174906037121102,-0.19521130744748,0.222984816349508,0.159704414078907,-0.0642457461440396,0.0988945298492319,-0.101169253144863,-0.209026995832687,0.108896735804104,0.0158015640396865,-0.0828640657620985,0.360625619437945,-0.360625619437945,0.355343508991155,-0.00387204013314733
"1444","gbr.145.13",0.669330607460686,-0.164570250706972,0.0177645793040911,0.206811924162112,-0.0571856959836872,-0.0316380827440898,0.169541396590412,0.0217773939947551,0.0936705697354342,-0.0482813896596135,-0.136289320112204,-0.144835818697301,-0.263597539386576,-0.222689698816379,-0.128662980020431,0.000509070568820861,-0.0271769721722316,0.0168018279864558,0.117576065207944,-0.122067306698705,-0.179198407717178,0.13544895096687,-0.0328731588575536,0.168948785525036,-0.0359855583490534,-0.0157219110382915,-0.201050243488383,0.133303486723651,-0.134493717525622,-0.039142319876777,0.260548327301356,-0.0668217156205342,0.029857138395523,0.0692469770747764,-0.151753827487099,0.0359255549486952,0.081094478382095,-0.081094478382095,0.31446007679411,-0.246011639170263
"1472","gbr.146.15",0.576003908943108,0.0822502493856372,0.104845582327008,0.00558208683254533,-0.227541847211043,-0.276521305080116,-0.00174571093202785,-0.106299962081224,-0.144116748589664,-0.19956490156691,-0.143200974492202,0.201237224667092,0.0223685985653694,-0.139369859981233,0.137564159829442,0.157650049995078,-0.0167382546818819,-0.130417177708301,0.1638556847702,0.103097625118599,-0.0798069541333561,0.204383188578037,0.0610273126300133,0.0725243018953045,-0.0941736896245913,-0.136654873908777,-0.0681026064168648,0.092981089175432,0.0294477426482439,-0.185690951062816,0.124784686157918,-0.00720096145118593,-0.0841623896955474,0.0369442004807879,-0.112421201199887,-0.181900047885032,0.288003061905539,-0.288003061905539,0.317129470609638,-0.0379422574097435
"1518","gbr.149.3",0.507208043424343,0.236886575413308,0.0358424478012015,-0.26949323890086,-0.139198788734435,0.121668311453223,-0.18346913843935,0.0187222551034029,-0.156285876328646,-0.059312350400283,0.365309929450876,0.00516566904485059,0.116590420391939,0.237389187589676,0.121985914384042,-0.0930814159101697,-0.083961177141656,0.00575708620232491,0.246715281244122,0.102833400181188,-0.0550015181829224,-0.164611821615672,-0.115201215986247,-0.115316543142631,0.183095575887411,0.125543779801096,-0.0906314257112928,0.136169624062904,0.0596321928487789,0.126424067651576,0.183167331341437,-0.105626315665782,-0.0661004442335634,-0.0553252001661156,-0.128031631420082,-0.110003748945816,0.147109120750078,-0.147109120750078,0.201492421666285,-0.0606696069560302
