"","MMpink","MMcyan","MMyellow","MMblue","MMpurple","MMgreenyellow","MMgreen","MMred","MMsalmon","MMtan","MMmagenta","MMturquoise","MMblack","MMbrown","MMgrey"
"gbr.44.77_gbr.44.75",-0.230960104995697,-0.236614975577293,-0.445637074993284,-0.285821214295955,-0.264491942222217,-0.138683438575105,0.407778712189391,0.305741014019656,0.0428613806892899,0.534514612917746,-0.142150734196432,0.270487481020632,0.499836454655378,0.460214212000087,0.282058393889662
"gbr.447.30",0.18140749197559,0.342355008037159,-0.181953508550021,-0.595100951663572,-0.155629205251652,0.280782730569712,-0.182645542128113,0.220616011521547,0.080305765324013,-0.00486652926692978,0.128340252755646,0.684300588572666,0.588041833213758,0.280485229924763,0.73066386712697
"gbr.110.65",0.106627129772624,0.319260616457475,-0.243054197314846,-0.605502375961747,-0.198266146491059,0.3152941509103,-0.156111530805742,0.222664637177047,0.159907646623634,0.0846684843745857,0.0271419653185698,0.686643329703948,0.5790793081993,0.263549289110202,0.74682518985148
"gbr.87.59",-0.0572843466373595,-0.214562189341388,-0.316651362058164,-0.142863785578495,-0.254691688498403,0.131501393307756,0.216704632699942,0.332950574610057,-0.410227997739346,-0.214913424724546,0.501543782966694,0.0934752585575275,0.254290715414089,0.389910911958361,0.099565374383421
"gbr.551.1",0.215700920740807,0.0572522136139057,-0.258162345232913,-0.366665854579652,-0.207473493284354,0.134659926454991,0.113160541347025,0.292611141159104,0.1197001243543,0.0910535664278511,-0.0390800581251101,0.542233345478155,0.454272808032377,0.22055445397759,0.555199371526008
"gbr.59.44",-0.0786725761660508,0.13683105217784,-0.260529173672136,-0.34971745838345,-0.253935062188616,0.328755185625332,0.0532135514162114,0.259358379003588,0.323050422049307,0.273283620309106,-0.103861793035397,0.471998557987394,0.39483367653642,0.108687605543368,0.532236736655137
"gbr.6.103",0.035919484959613,0.181057080405197,-0.237380036016106,-0.398034051591864,-0.314073620786229,0.219470880015444,-0.0140042428472058,0.20269862802368,0.203676684760766,0.143492940893482,-0.0827599170847624,0.560358186560301,0.413544617726575,0.0995349359340414,0.594437856148605
"gbr.183.40",0.0378296190627706,0.0818039935523571,-0.29390812168974,-0.440400601541211,-0.098260586305613,0.170925535563679,0.043592879519604,0.282850235669971,0.10691691720208,0.088998376578591,-0.0527359421095175,0.59984944467887,0.528669488347057,0.256387630184904,0.604001447402831
"gbr.12.93",-0.0967506180951256,0.361383779644917,-0.192753993572256,-0.651721104755336,-0.27409290621235,0.122076880968026,-0.226660508256967,0.205013573016611,-0.0468275811365711,0.104297115164166,0.180737988522485,0.60877326939481,0.735103280998675,0.568722678119741,0.686887931903233
"gbr.39.15",0.11237362655044,0.414294340809228,0.11430795654486,-0.355861989747936,0.0623305117727122,-0.0559739214379594,-0.368495477813481,-0.161063605067908,-0.11403502590279,-0.1850432572069,0.064302911677894,0.458413684430344,0.423979535503021,0.150781347681181,0.493096940147769
"gbr.287.23",-0.0067135221957379,0.0306632307051087,-0.369680154386347,-0.451034367319335,-0.253799247352857,0.378592620608727,0.125812563217456,0.353515912643348,0.215201137427168,0.132156508895111,0.0382206916434521,0.626210763469916,0.429485473882862,0.0956716706822937,0.601303821535383
"gbr.72.102",0.0262658895794507,0.220975294641205,-0.00559455972253196,-0.28447389547398,-0.173256701625009,0.184873149952606,-0.044123401144642,-0.0250229068028907,0.102501378173262,0.31620333735908,0.182604724957306,0.0516569328741847,0.120767724210601,0.120847578053911,0.162868581748918
"gbr.39.79",-0.0140764650055117,0.0994554668689184,-0.176222772059988,-0.472227821471774,0.0126604983137409,-0.150645540320566,-0.0840077801842528,0.194915397784893,-0.534100452888463,-0.0609922380062492,0.485485181879473,0.176423735121178,0.639579636400252,0.885204511405531,0.258382032545305
"gbr.105.37",-0.319155696593162,-0.0304616326116399,-0.510490797654133,-0.438440089670454,-0.235717748583403,0.318059878363867,0.197137530340045,0.428087679441972,0.469700023094183,0.494891797667614,-0.254922482664222,0.63668413805981,0.527449920773304,0.162840320849394,0.617325372939588
"gbr.199.20",-0.126501155098127,-0.157736670558657,-0.35992393566414,-0.145942134053217,-0.081031197982701,0.204276240533934,0.220496914218276,0.360900908172857,0.271123187443813,0.129629765944717,-0.222000981642125,0.424169158113861,0.290676096608936,0.0630751541136012,0.381137765596329
"gbr.155.14",0.134974349627494,-0.0530324777502195,0.228632528566683,0.240934595174699,0.356019911391678,-0.193332021824943,-0.00180999288065016,-0.130555333947001,-0.133346311714215,-0.227381976959148,-0.0133219768537015,-0.191354530769611,-0.131027414736421,-0.0500607305809751,-0.202851480588726
"gbr.488.3",0.196556777308574,0.240396004295571,0.121535019642187,-0.182208510232643,-0.00554394469061327,-0.0738906910266929,-0.146925837029161,-0.123660268818734,0.00414499551727697,-0.00737830907838447,-0.0566860964453351,0.250544212804516,0.207734459204512,0.0425816699930006,0.264318688126569
"gbr.530.12",0.00334094630808797,0.00227768761974917,-0.336920598447848,-0.368643246130722,-0.271154839996277,0.279157803209688,0.200758209654911,0.359024586051468,0.228353267319345,0.219604507975859,0.00143094601269153,0.524746505936699,0.378182143075337,0.114863728426887,0.519674889635211
"gbr.449.9",-0.164793360247551,-0.592118111768857,-0.50915035339775,0.191546957892531,-0.190129821285257,0.152461963918984,0.663483708379114,0.547547210450731,0.380623633105611,0.309347646038604,-0.397790767436484,0.0930709551432463,-0.023234808226565,-0.0991814444644249,0.0237621732749753
"gbr.103.36",-0.243491841324164,-0.696247591342155,-0.56859200727032,0.234645651715389,-0.407455221671052,0.235224574030899,0.745069706634222,0.50291057364798,0.333010970408379,0.457956942932485,-0.084757299123224,-0.121014298942914,-0.219490702011813,-0.200408490631668,-0.184910094647363
"gbr.80.24",-0.162447682218862,-0.689378170871647,-0.275880957214549,0.505921924923243,-0.0357611382985204,-0.434691133965077,0.64412908617532,0.17075411819167,-0.0282539291212869,0.161401696912912,-0.437774180055025,-0.245454397797076,-0.144312990036933,-0.0566743239227497,-0.339250014240986
"gbr.100.31",-0.0138478622243839,-0.247055653878397,-0.300766802435005,-0.0623010264872889,-0.117513308288656,-0.0444567912358727,0.302870881786018,0.246941058027171,-0.0743396502646878,0.0376983227440021,-0.0415669090156857,0.245373784625206,0.262117228762115,0.161342408011421,0.209012236456428
"gbr.5.12",0.450602196599024,0.624184298982006,0.82563506403297,0.01233009652551,0.437710535779311,-0.462130188442645,-0.691460131649353,-0.776519140222305,-0.536454704226369,-0.555711821361174,0.285701752178878,-0.180360176542099,-0.152413534511679,-0.0829402063958268,-0.176367658012662
"gbr.24.36",-0.061048867518597,-0.26788101168652,-0.546430627052318,-0.241373406060626,-0.355816598454121,0.189902479459729,0.463772259180491,0.497950639063234,0.315631479880139,0.247148920002891,-0.305153310745599,0.627135770735407,0.374046131680969,-0.00149914974340197,0.530845377995898
"gbr.7.112",0.102702516224203,0.274923876226618,-0.314778402192128,-0.637273001455141,-0.330712404670526,0.357521492971128,-0.0942582856394703,0.311151655451437,0.223857939190077,0.200980762538529,0.0483804940955197,0.693746180451435,0.587382059085938,0.292474918290402,0.74821588887159
"gbr.2.59",-0.0626099580049971,0.282489606564174,-0.144551280611248,-0.501044205409431,-0.0908545135148433,0.191110308837714,-0.183931487778264,0.097566113343301,0.0193458622153215,0.13356965780983,0.203490485534509,0.444408276578268,0.484212814588138,0.291300095007426,0.513700138465185
"gbr.142.71",-0.163972694262629,-0.595173041399922,-0.616031039529636,0.0979121336387442,-0.383285303415637,0.294678706475068,0.757908939345795,0.538406568487518,0.498285477706368,0.602616502345784,-0.28876347239106,0.0574660775430144,-0.072850943406793,-0.129101390176908,0.0230314389999678
"gbr.17.71",-0.36618524223698,-0.193472422387768,-0.711363420311961,-0.46430447134842,-0.43524674623153,0.538153963546116,0.428511675215869,0.646351066062904,0.615799091244828,0.64598922263841,-0.235507550515824,0.69176328391516,0.473102344700826,0.0841730095733419,0.648749410449738
"gbr.448.4",-0.0889560208139116,0.129980894969104,-0.0914171005178847,-0.427455878919588,-0.0789618365797831,-0.245523225474305,-0.0915244814099935,0.0242033643273052,-0.534872386541707,0.117039526121952,0.547930336718009,0.0364018993379011,0.504842875328919,0.761928659481073,0.106802697528301
"gbr.590.1",-0.0249682194042483,0.348747683407488,-0.178765724122943,-0.655435402142855,-0.0968943336929578,0.245041634831692,-0.190793742959973,0.161030752590945,-0.0507919248664763,0.026514061110031,0.193042535888936,0.708610466856025,0.694469777660221,0.403180018787828,0.744525108345069
"gbr.221.4",-0.121341200715402,-0.232914983470133,-0.445247335318355,-0.160144319685955,-0.0564296139365424,0.520454795699541,0.313933067861362,0.544891554336307,0.597001922736249,0.239753358119336,-0.290747953684319,0.444300443015961,0.110071623062253,-0.148264639029407,0.38627499950868
"gbr.48.16",-0.249404713869061,0.11816770332822,-0.252302344852638,-0.5343720413795,-0.0482132172505879,-0.0193896921170215,-0.0972979596111382,0.246311155006423,-0.366182950024902,0.142928855239515,0.480834745621089,0.209705531146273,0.673247820604861,0.906353211352971,0.296583321306237
"gbr.76.65",-0.212139615817842,-0.73784123041392,-0.572694850446531,0.224837699497258,-0.248906650752875,-0.0142825928733484,0.823917458154716,0.494606320339589,0.208556370640761,0.405177710988612,-0.301364393923016,-0.0535257279592226,-0.0345945044179616,0.0251471219250243,-0.109944177928191
"gbr.467.4",0.391630463774701,0.456813737938144,0.637557338189117,-0.00557572254391319,0.345798273229917,-0.38592647252317,-0.477570361531394,-0.617160730567032,-0.450234527419017,-0.273343635677746,0.292428496206171,-0.239221852036282,-0.0936765297015119,0.0636841509322421,-0.189448567714334
"gbr.382.1",-0.191392788285812,0.204878956241314,-0.263124509620534,-0.50389432720011,-0.220102650844183,0.218115343310507,-0.0679381689576627,0.182737659993711,0.151716618157899,0.24194378821012,0.06936452171378,0.563356655390122,0.54842086352436,0.271603003810269,0.613486549163147
"gbr.94.21",0.0164994134216539,-0.146480625734335,-0.231523600024281,-0.0155658102045476,-0.119799275207848,0.17452278826402,0.29487392197796,0.164282926372828,0.59741703632283,0.487503833239278,-0.537984373746373,0.224351470154561,0.0290911449441669,-0.2289194047869,0.21104325895834
"gbr.60.52",0.12345594031064,0.276462191108707,-0.158672632247805,-0.490994878451223,-0.253072554317185,0.142152417409235,-0.108446479754921,0.167171992413168,0.147656943694622,0.155114884367863,-0.0327074965347634,0.579247575573117,0.528673633989555,0.242637164317775,0.631392266304691
"gbr.76.37",0.271041326753666,0.598739832540414,0.329398557679688,-0.344603919156786,0.0183222335246353,0.102260196741081,-0.52788645538337,-0.242972390030522,-0.0765212659940244,-0.22542063199893,0.168014568165618,0.2755535982837,0.182398515952496,0.0487493811144131,0.325292814068027
"gbr.174.38",-0.0690135691425129,0.196447359316179,-0.43550561746062,-0.699630479269879,-0.368513829898568,0.300049961080325,-0.00177235185866726,0.400033593580094,0.17688674929124,0.227513214119154,0.0567300284351794,0.85044651757259,0.75642089087144,0.377326326165005,0.853048937070887
"gbr.127.11",0.0142505317329935,0.215853127741908,-0.141233974581068,-0.38183759688014,-0.0654536619004954,0.258761500672214,-0.120054133381075,0.128275534255777,0.206243783565384,0.140878206322348,-0.00107426428222661,0.445818929767226,0.331851147539171,0.0798327573266905,0.481158422399127
"gbr.8.101",-0.0355645697889076,0.0103650747706296,-0.258030558038609,-0.296393799862785,-0.0365788920555585,0.162359385389574,0.0873159362285925,0.251291523775001,0.188137345067577,0.15061015098343,-0.0704077029391492,0.408657291014145,0.402341337592922,0.18295464737399,0.455496235555391
"gbr.866.2",-0.264170987903827,-0.180055240831986,-0.378247491771019,-0.102673714800793,-0.280060290370032,0.489438747814861,0.259608965931331,0.427555341124433,0.256472783611255,0.112510667137186,0.053118145404374,0.197418546580073,0.0859209581447495,-0.0239438894821581,0.213129467048228
"gbr.7.92",0.303121968113418,0.505826518810241,0.550808913546772,-0.119461977185869,0.405873737146795,-0.173046898194363,-0.497608156724499,-0.403615613861556,-0.0759154157573674,-0.20367996355899,-0.000199059817692512,0.0480144838695518,0.0242118672391697,0.00538177372068266,0.0494596941637587
"gbr.316.10",-0.173315095701481,-0.139137565907568,-0.521299262233013,-0.301638473801071,-0.31335659386956,0.625020074588845,0.292052010196894,0.550959424714614,0.65271236348334,0.507216515502738,-0.14461494514783,0.409259024376686,0.203895318027862,-0.0384508003286445,0.423399232062224
"gbr.296.8",-0.307558611681159,-0.0465684218386648,-0.522493137760447,-0.383381042138794,-0.4328268124671,0.625541208032001,0.128332677701789,0.577685024910374,0.471575381357163,0.49496829314365,0.192821142792086,0.255408024048455,0.277172421834192,0.219392988208401,0.343448672141828
"gbr.366.9",-0.147689872784915,0.311610613985231,-0.0689521378797015,-0.426730628725845,-0.0651563852276363,-0.0056888942434489,-0.298813428997058,0.0268069704629993,-0.161856502310233,-0.00842479344284054,0.232295864151226,0.342444280816236,0.550136253014873,0.444438982301788,0.425474503706612
"gbr.37.66",-0.0321695797329085,0.29652035273705,-0.173811778088749,-0.519481020647307,-0.100926552081279,0.236458804665439,-0.166022132389607,0.194454395654075,0.162790305886403,0.112779053932221,-0.00774302544418347,0.617750859077283,0.54950481981511,0.265930823262649,0.649113343444191
"gbr.54.45",-0.349317491057466,0.0166100616558239,-0.458421439265056,-0.450847726924567,-0.216227891663998,0.276197569448402,0.123209701499652,0.377421779539303,0.35565576220182,0.39313349779303,-0.16712006382155,0.618687891402219,0.593829142618212,0.250216391041056,0.63719047414535
"gbr.110.6",0.32526367713183,0.288346855619472,-0.140000472500298,-0.550719503370079,-0.112251838427948,0.0456405049695831,-0.138481064771792,0.100280172519706,-0.00379047171701249,0.0155900292209618,0.0417249358263081,0.696251720725448,0.576736502283444,0.244983331674994,0.687921876547373
"gbr.2.36",-0.211886105882736,0.124744664349573,-0.430779409536069,-0.645905572141767,-0.175057616937527,0.291711240504544,0.025876203207858,0.390141147362378,0.0936319302707146,0.233583746169093,0.163121896573312,0.691929765148496,0.717572795422564,0.466055106525546,0.720628104770807
"gbr.34.16",-0.314819733370386,0.0436092500663196,-0.573688945029816,-0.590180514284974,-0.275615390001369,0.721758968896111,0.0815374310093634,0.668743286134417,0.394435304873337,0.28162501384825,0.16851093114651,0.603239350491628,0.519606098698663,0.32237018943784,0.64902973815571
"gbr.12.9",0.0266203239698503,0.0500497923797256,-0.140936205410304,-0.196344131711201,-0.0454955121184877,-0.0960441237570598,-0.0299701714825792,0.0725074734610122,-0.116292350346712,0.0501818940931809,0.0458294584547428,0.175655392962029,0.348366491369504,0.334435948454656,0.231061084369096
"gbr.37.87",-0.0670401704808732,0.22222087869844,-0.222123857158616,-0.469519221256668,-0.132988256532288,0.31982476027501,-0.112647631900839,0.231460255642697,0.161564089739181,0.0848602330545943,0.0953272769694397,0.57523836274325,0.475294477884565,0.179932571912503,0.604851307642087
"gbr.138.22",0.207345324927724,0.214410884352435,-0.197933135006643,-0.485934686286508,-0.312610105763128,0.075904544177296,-0.00690112453977954,0.180678451164227,0.041824693398534,0.207905540862049,0.0567370338858553,0.524091605467986,0.506356368535256,0.290748747318034,0.554394888715127
"gbr.19.142",-0.128122181656407,-0.437584769884234,-0.352825769692372,0.238281638056981,-0.218912710343085,0.15994967098187,0.469537342045602,0.286857374188259,0.547952941077526,0.372805014326615,-0.454729529852099,0.0239416285057374,-0.185626055648387,-0.35893966817745,-0.0232790442562678
"gbr.412.7",-0.241840544540736,-0.33916159520281,-0.395551279981299,0.136442816889927,-0.0884817068133281,0.37584326656933,0.415894816627911,0.397696448348656,0.879254422330044,0.679241263391147,-0.552933607667438,0.0628705493199921,-0.14237534137189,-0.310620588913373,0.0808613968391881
"gbr.318.36",-0.328674864604287,-0.493389064651876,-0.665318305675341,-0.0332216094852296,-0.262772334601127,0.344432078527331,0.527434485381992,0.639874428726923,0.282841121019706,0.237029303772384,-0.120001586678986,0.244864631488834,0.177104401259046,0.0506669194948054,0.20363640323569
"gbr.41.83",-0.112721908140361,0.10866912079531,-0.45905743826316,-0.60629802991515,-0.185917466640188,0.362244393219635,0.0547408438710683,0.42637439781147,0.275746725441842,0.240245280868368,-0.041413832270725,0.812816748658078,0.688008562735577,0.306559402462116,0.814727704604736
"gbr.188.16",0.247778341848433,-0.0791340079144267,-0.397920156726785,-0.382625634649163,-0.368603606857104,0.16203524822581,0.276671645923441,0.415788749753453,0.262882137769827,0.147530782146477,-0.231018708961801,0.735696208787358,0.40164027111754,0.0164398120728834,0.613598149967265
"gbr.376.14",0.139729096538007,0.12623674964262,-0.0395350684453034,-0.181638649435582,-0.0430828614777117,0.00969168562558964,-0.0316404563705411,0.0320720917860191,0.181051209088561,0.146208530403708,-0.108452975445613,0.292169709452139,0.18016633866122,-0.0112938887161177,0.284530738158468
"gbr.205.26",-0.227710107387087,0.188650929773584,-0.223613637868115,-0.427103787657628,-0.125474126317459,0.223057241565593,-0.0820677908835891,0.192605576952216,0.077591136470655,0.145155848938649,0.106106944746317,0.485667776647015,0.526802117778112,0.296287647031623,0.541528494129597
"gbr.127.29",0.0382251662702556,0.0497035114093611,-0.356095824139073,-0.471586844390813,-0.311951785510213,0.055741102123366,0.0968571324322611,0.325920011649574,0.0532283555377494,0.254581978551181,0.01510536498968,0.480609849398649,0.589386097634311,0.446885122938073,0.540387547669061
"gbr.135.35",-0.0623380868541226,0.282780541682435,-0.144331981097949,-0.496538274085867,-0.141206069240856,0.101945123930326,-0.131727109018797,0.116252023331551,-0.0278616675995695,0.0362496636688715,0.0769110107058311,0.570735106836956,0.567293333211137,0.305139264181309,0.596234357469999
"gbr.76.100",0.205755316255763,0.208333436806429,-0.166094196120554,-0.426316898697852,-0.115584269203924,0.215785791019213,-0.0859444739416053,0.190287222908027,0.142506824996989,0.0164837480266861,-0.0346754251127023,0.580323187813212,0.415660658045261,0.105211524027721,0.589911709485136
"gbr.2.68",0.279469698034821,0.519169140050298,0.435082766763495,-0.169798260965295,0.180228026212179,-0.19918556404204,-0.453521217480176,-0.40868594133468,0.0302606708269711,-0.222273629747347,-0.275839944184791,0.363688122371183,0.14620160032519,-0.163021500625614,0.333615916727725
"gbr.10.84_gbr.10.86",-0.188916779860831,-0.21936587979093,-0.0132845654212922,0.344525516210499,0.416261418041534,0.243234358073536,0.15703934992121,0.0857349244524098,0.647861573352284,0.250976172797806,-0.542976975275499,-0.136647909179953,-0.360956947040151,-0.461491921159431,-0.159452872180933
"gbr.87.27",-0.329222414171407,0.138253283942906,-0.396986243656658,-0.58950520313538,-0.255082931243952,0.137688273626073,-0.00962870475849187,0.311986361067724,0.0724382137996906,0.511406875219668,0.175194023550228,0.388455017514043,0.683401695039817,0.672398330973936,0.498815150097877
"gbr.41.75",-0.108727841730098,-0.00469482989188879,-0.239576872742211,-0.206667796226669,-0.107068767041699,0.211562591310621,0.10416969978892,0.179254107500458,0.277665004703668,0.109922904081275,-0.244227657937351,0.522798135871551,0.286948986220088,-0.071811939220214,0.484161103015947
"gbr.94.18",0.0387468542027022,-0.450991190094843,-0.368559683125863,0.184559218437601,-0.173249401480798,0.179806943551435,0.535886895681459,0.374319725672092,0.464463621334304,0.236177608395644,-0.488138208139927,0.176100482720765,-0.120433962585704,-0.329193255826142,0.0779863910665111
"gbr.297.12",-0.000747216047804975,0.150826805166815,-0.0725586093168994,-0.262586616436948,-0.102966613997528,-0.074933836973557,-0.152336436009362,0.0606725021694217,-0.179699789033841,-0.0586953176168809,0.128479583111917,0.209773477528156,0.383200588568722,0.4022909161431,0.253864486649787
"gbr.34.32",0.199645832930895,0.374822496787416,0.503115777486683,0.0769020562914408,0.206249535999337,-0.0523007912748403,-0.426489983691186,-0.398466894833742,-0.203779364165709,-0.347289134686139,0.190886298079834,-0.210012414971606,-0.227466743980645,-0.145233353603791,-0.178351952589438
"gbr.283.22",-0.132285835432568,0.219724797333471,-0.340730739671976,-0.706104288759242,-0.16234057943021,0.123190621928177,-0.0767747851863242,0.351609412994788,-0.141917109124451,0.0603994068502744,0.222212128137078,0.698755434238149,0.852950372460108,0.687647830978883,0.733963803935655
"gbr.70.2",-0.0832881336966622,0.206288278038666,-0.391517250565432,-0.707202562612537,-0.388295396982986,0.28471373788524,0.00787223076737823,0.367982532240956,0.0702233249651003,0.194245960370414,0.165263514364146,0.776046583541783,0.677333394886213,0.368594999850367,0.747276743340742
"gbr.248.2",-0.0953646507553262,-0.134408248076324,-0.417381727760321,-0.203096580200331,-0.297397739243876,0.459806485400581,0.239345472834103,0.44413014505691,0.323277064317089,0.280040820749518,0.0370942412034969,0.248185342862165,0.195753451233456,0.0586214745278744,0.299632810832179
"gbr.254.1",-0.101996800098017,0.0936774972019878,-0.481008890147996,-0.691172555220205,-0.343923704209863,0.251501469792891,0.078706092488642,0.481338702173965,0.142909513564791,0.354185591779521,0.104394950151834,0.67749882156458,0.758083880123508,0.561404242755686,0.707853282160013
