Sample:	Spf	Spm	Spw
gbr.4.56.t1_gbr.4.57.t1	5.623857044	5.985727199	4.259152124
gbr.270.18.t1	61.59394659	65.39813138	100.4216777
gbr.1.66.t1	55.29854232	57.7460856	60.53629957
gbr.139.43.t1	0.619481125	1.639510983	3.300892001
gbr.151.45.t1_gbr.151.46.t1	539.4222194	635.6491095	958.4574872
gbr.58.5.t1	37.14161467	57.35491794	65.57302472
gbr.309.7.t1	607.3214004	673.2448812	2114.160954
gbr.41.20.t1	13905.67629	13108.85308	14174.72405
gbr.8.5.t1	16.80669442	13.97096026	28.93764495
gbr.155.19.t1	50.33440445	31.86454742	53.01106783
gbr.296.23.t1	0.362197623	0.341751339	0.5230015
gbr.286.7.t1	115.9336307	93.2591566	97.56437849
gbr.11.177.t1	16.95883781	12.23214396	29.2034064
gbr.363.1.t1	0.776973572	0.37269215	0.385463384
gbr.308.18.t1	76.30163658	56.47950769	84.25603413
gbr.457.5.t1_gbr.457.6.t1	29.11900879	19.74255737	47.38003425
gbr.154.17.t1	63.11789853	56.92340054	94.76703016
gbr.162.11.t1	49.70594205	43.70774974	73.41370139
gbr.18.7.t1	549.5824251	642.2393531	516.9036184
gbr.25.187.t1	19.50510207	16.49340456	46.05482277
gbr.379.18.t1	33.16591683	31.25904024	55.57147826
gbr.59.23.t1	0	0	0
gbr.37.124.t1	44.48428159	42.71545473	38.06724871
gbr.60.92.t1	29.92438827	24.89656384	50.11876414
gbr.124.54.t1	88.27081884	114.1339198	114.9443619
gbr.47.76.t1	1056.844845	1561.490292	1479.743196
gbr.102.53.t1	41.62814036	52.8503711	69.730132
gbr.167.58.t1	203.6957329	171.1569261	454.5046358
gbr.90.88.t1	370.3475501	409.1953286	488.6147817
gbr.53.86.t1	99.41860231	82.69881025	114.7740003
gbr.627.4.t1_gbr.627.5.t1	32.31575266	46.58877581	60.87958067
gbr.324.9.t1	10.63868485	11.74375228	12.35513472
gbr.425.3.t1	446.3397544	422.1644549	653.6457465
gbr.272.14.t1	20.97520833	20.36541109	26.80838535
gbr.18.41.t1	61.12857362	73.47092475	93.6956934
gbr.36.47.t1	53.81217788	53.64523932	82.59315561
gbr.53.123.t1	9.953292387	12.55824738	27.17756172
gbr.76.61.t1	11.60838398	7.508179214	24.05365965
gbr.157.18.t1	26.70329012	35.53144081	112.459759
gbr.286.17.t1	88.98922028	96.95652417	110.3619208
gbr.25.161.t1	91.84635701	79.65016176	256.8814248
gbr.236.8.t1	9.068551717	10.19765638	39.65030659
gbr.35.71.t1	102.2458212	75.46230563	126.0305109
gbr.97.51.t1	214.5091052	109.6458074	180.1109779
gbr.165.18.t1	22.12482748	17.01301013	33.00409769
gbr.332.8.t1	0.506258218	0.259270427	2.987142553
gbr.117.35.t1	30.11717463	24.36739587	35.416904
gbr.326.13.t1	52.20449882	41.71369067	79.77325715
gbr.140.46.t1	16.86249766	11.21451191	13.6899857
gbr.72.112.t1	20.76302167	15.9766744	25.28430445
gbr.36.46.t1	768.6277206	482.2105786	731.6317276
gbr.253.23.t1	127.9251439	94.37849807	132.9725365
gbr.424.8.t1	43.42382648	39.62926052	84.73324015
gbr.111.56.t1	1439.739375	1447.197589	3497.271388
gbr.208.35.t1	15.78981898	17.90583426	19.16661602
gbr.180.27.t1	31.09678102	31.59083756	63.07647193
gbr.14.66.t1	5.543527078	6.992380671	13.62175562
gbr.49.7.t1	141.5361316	105.4331667	482.6613378
gbr.2.61.t1	796.3179304	794.0757972	1182.355647
gbr.84.5.t1	47.85003782	49.51488102	62.12005814
gbr.170.8.t1	3.25778189	7.38519505	7.032960508
gbr.35.84.t1	21.56084803	24.83639189	49.44430506
gbr.176.4.t1	33.60817924	28.05501826	39.59574595
gbr.627.2.t1	1.590402563	1.38388231	8.239107555
gbr.2.20.t1	28.81924557	9.02332952	36.9300725
gbr.34.22.t1	66.53027685	77.1337763	132.7387435
gbr.209.7.t1	482.7116421	603.9050765	737.0332534
gbr.216.39.t1	389.3690289	316.4433254	482.5227304
gbr.162.2.t1	3673.946058	3174.317295	6196.705305
gbr.139.8.t1	17.23027103	10.50453779	22.19091675
gbr.86.49.t1	38.32339022	32.05246434	56.86598834
gbr.403.11.t1	43.28402304	41.34979449	22.90203614
gbr.25.178.t1	112.3663719	112.6271907	171.0400614
gbr.46.83.t1	33.85196368	34.51824289	47.06819836
gbr.244.13.t1	13.65484536	12.63204695	29.80429866
gbr.58.147.t1	362.568469	278.8626539	693.5225102
gbr.375.32.t1	12.05776962	11.93632952	22.57234439
gbr.168.12.t1	21869.66127	17027.39527	27229.09481
gbr.193.7.t1	32.72045181	30.0103715	58.54913338
gbr.15.56.t1	11.65879491	6.825285176	10.91686303
gbr.151.75.t1	599.53662	579.3804109	702.1449862
gbr.421.14.t1	0.059261053	0.447489361	0.206966925
gbr.237.11.t1	1270.676195	1852.413531	1875.732396
gbr.491.7.t1	51.86022909	42.39916369	69.24143865
gbr.16.59.t1	77.98961689	85.29889109	130.9379262
gbr.41.91.t1	19.86497334	16.45100656	44.04788897
gbr.185.19.t1	371.3556295	336.881617	480.0793401
gbr.124.24.t1	51.81220473	35.49137614	124.3584342
gbr.31.50.t1	383.6532103	375.601847	454.2477687
gbr.156.37.t1	37.16718047	29.15597059	69.72502661
gbr.171.44.t1	247.0755862	134.4576511	192.6070436
gbr.593.5.t1	19.60577685	14.53161265	16.22736829
gbr.245.19.t1	84.60153092	77.4316221	133.111024
gbr.92.42.t1	101.1279051	122.5505905	162.1558896
gbr.16.62.t1	110.3965379	91.29794006	175.9054806
gbr.173.11.t1	48.26609051	46.78907071	64.36225092
gbr.216.31.t1	1330.358173	1806.776818	1867.517093
gbr.297.13.t1	91.90650861	96.49559164	142.6593619
gbr.601.4.t1	26.89717548	27.97362414	44.55233536
gbr.143.18.t1	49.47579669	40.40550912	41.53729786
gbr.6.198.t1	0.874511177	0.542896346	1.856169391
gbr.130.16.t1	169.2483022	70.21099296	204.0476476
gbr.229.2.t1	20.67817319	20.10776531	30.10768909
gbr.415.13.t1	276.4463523	267.0176441	398.5836041
gbr.24.86.t1	45.61724072	33.15624106	56.30877912
gbr.59.26.t1	77.15029492	48.79820329	113.3317667
gbr.455.17.t1	197.1160597	188.6116865	326.4561359
gbr.60.100.t1	3.039480971	5.798734901	3.508333836
gbr.86.50.t1	70.01873096	71.13224432	66.74580836
gbr.33.35.t1	60.80055501	38.32551346	75.651461
gbr.38.42.t1	239.217721	144.9774431	392.4123355
gbr.162.30.t1	562.1742589	334.6816229	763.9520051
gbr.311.7.t1	58.06787565	69.58376658	66.17304123
gbr.10.82.t1_gbr.10.83.t1	3.65528592	5.222089225	11.28704905
gbr.154.33.t1	29.59588923	26.51220238	39.71448255
gbr.184.59.t1	411.5614226	478.7498993	643.8524678
gbr.168.37.t1_gbr.168.38.t1	354.5849178	318.6787353	602.547082
gbr.11.51.t1	2452.663721	2407.913901	3223.834452
gbr.25.9.t1	126.217186	105.9158243	190.8054356
gbr.147.31.t1	218.3113475	153.105816	634.2012153
gbr.529.8.t1	150.3821079	183.1236634	257.4168613
gbr.494.7.t1	2.359434748	2.833627398	8.79229314
