Sample:	Skf	Skm	Skw
gbr.64.26.t1	70.02682885	53.1646526	78.97615414
gbr.488.9.t1	187.3966133	201.0301751	162.6875088
gbr.110.51.t1	14.74952062	20.29348778	19.05702954
gbr.168.24.t1_gbr.168.27.t1	14.19756051	15.30823799	16.05285093
gbr.11.223.t1	8.26492529	6.895536117	7.159714357
gbr.44.74.t1	89.82106133	105.7556212	92.04485479
gbr.90.74.t1	37.65182781	38.70010998	42.27715204
gbr.90.11.t1	81.45608481	85.33343378	89.78452459
gbr.75.17.t1	428.238427	497.8187819	441.543585
gbr.87.48.t1	29.20239593	34.27481642	25.04176311
gbr.23.2.t1	39.74536413	34.37346778	43.34193348
gbr.34.34.t1	5.685107196	8.175457655	4.542059135
gbr.571.7.t1_gbr.571.8.t1	24.99159031	25.64191325	27.40556731
gbr.167.54.t1	35.26857478	43.35778336	30.46939821
gbr.35.75.t1	91.78833421	101.5091878	111.9269945
gbr.260.2.t1	72.86113886	98.8507022	105.3632922
gbr.4.91.t1	26.06828671	26.58617824	25.65131681
gbr.517.12.t1	42.30593483	59.91039351	78.31107795
gbr.2671.1.t1	686.1122172	1300.339253	1303.482368
gbr.63.86.t1	23.98210065	17.90046311	29.37881024
gbr.90.118.t1	0.167775738	0.063561056	0.099371615
gbr.156.30.t1	37.7077257	45.42715972	66.53807551
gbr.268.13.t1_gbr.268.15.t1	10.95047348	11.31912025	14.25344553
gbr.58.87.t1	49.41895607	46.83718282	69.18032082
gbr.124.55.t1	49.60100908	55.8114697	44.266242
gbr.33.43.t1	272.6211414	320.9432983	323.5001996
gbr.137.57.t1	30.16399886	33.53817166	30.02866494
gbr.19.40.t1	21.72244504	25.59331121	25.44018471
gbr.171.11.t1	132.2915789	160.8915117	146.4878931
gbr.307.4.t1	13.55233084	15.85711907	22.93052714
gbr.286.8.t1	318.9941946	313.7166696	367.721934
gbr.182.69.t1	21.82105911	26.58918211	35.92932906
gbr.494.6.t1	20.89819995	25.21729136	36.48441514
gbr.381.20.t1	26.13919993	25.58796148	28.05945967
gbr.17.113.t1	258.3281472	254.6534398	299.6527169
gbr.541.4.t1_gbr.541.5.t1	151.049969	142.6651543	173.4143587
gbr.298.8.t1	74.30329194	73.6329046	86.50576627
gbr.23.69.t1	89.33459764	83.70158255	82.24380087
gbr.53.13.t1	81.28402084	70.85344461	67.04112563
gbr.174.36.t1	20.70952826	21.76453582	34.25448873
gbr.1.27.t1	34.41527312	38.69785671	37.51836209
gbr.380.9.t1	61.64542578	87.93466183	68.97596347
gbr.11.32.t1_gbr.11.34.t1	29.8527217	31.07315808	30.91464616
gbr.189.7.t1	288.522446	290.6958183	277.9951992
gbr.21.5.t1	75.32927256	120.104394	107.5555191
gbr.326.4.t1	45.47476318	49.44980648	63.01960705
gbr.8.70.t1	4857.693633	4323.793556	4159.409608
gbr.150.23.t1	0	0	0
gbr.134.33.t1	226.9470341	214.3849019	279.8214827
gbr.99.73.t1	162.8768144	173.5645383	158.1200989
gbr.73.24.t1	22.19663247	29.96436513	44.46462651
gbr.152.3.t1	39.35980204	29.69881794	36.21925263
gbr.184.21.t1	197.6754823	172.5813859	208.5157686
gbr.25.193.t1	125.6017345	238.0468095	258.3787994
gbr.252.6.t1	26.61227733	51.84768316	43.11349891
gbr.29.74.t1	35.79441311	39.9346746	42.65056268
gbr.338.13.t1	175.7867445	214.560875	157.8324517
gbr.559.5.t1	7.900846865	11.1713054	18.85985722
gbr.29.73.t1	536.7338445	543.4642683	505.4874363
gbr.297.18.t1	10.6108854	13.38365909	23.50006106
gbr.15.90.t1	29.26314005	22.91649945	30.52272328
gbr.155.17.t1	114.5302392	124.2203758	109.2096376
gbr.117.34.t1	385.5141035	393.9450943	354.812844
gbr.375.34.t1	23.09548803	22.45580039	27.63950299
gbr.110.28.t1	57.04383157	43.48228839	81.4440841
gbr.25.94.t1	503.3528537	519.5748167	507.5873935
gbr.7.125.t1	0.450698911	0.397986085	5.651794318
gbr.216.45.t1	25.89764581	33.31553701	49.22632774
gbr.38.64.t1	505.6721109	633.9601689	622.5015554
gbr.35.52.t1	146.1806653	176.6983396	157.3143687
gbr.255.23.t1_gbr.255.24.t1	16.3009861	19.78815627	21.90067349
gbr.11.89.t1	686.8512204	587.2168881	523.5404587
gbr.301.30.t1	127.8328888	133.5650526	147.3604514
gbr.100.60.t1	34.17241491	21.38731748	38.73697485
gbr.13.33.t1	108.2112848	133.4326586	128.3835831
gbr.81.216.t1_gbr.81.217.t1	87.93054378	99.21824617	83.11731808
gbr.375.38.t1	31.75617605	35.06349713	56.49477018
gbr.54.37.t1	31.17304917	37.9889145	43.37852552
gbr.58.142.t1	341.2459344	450.0526576	452.3699891
gbr.309.21.t1	13.64996618	15.47485863	16.38322963
gbr.90.135.t1	70.436911	82.84082267	74.64701282
gbr.421.11.t1	44.51032687	56.54771524	42.1510139
gbr.76.59.t1	19.08349377	36.83009534	40.95890556
gbr.178.17.t1	44.10694844	45.22928101	59.16580127
gbr.3.83.t1	44.61940059	45.5106542	44.56069653
gbr.495.4.t1	45.24646787	46.63029098	56.10454218
gbr.503.4.t1	14.43489357	12.25964475	17.79108014
gbr.46.62.t1	38.7433137	52.31960235	46.41759846
gbr.124.75.t1	30.49844809	35.57391499	35.71532049
gbr.459.5.t1	52.90120801	63.96217638	62.0050127
gbr.5.65.t1_gbr.5.66.t1	24.80064719	31.82535323	39.54053641
gbr.81.128.t1	25.33400787	35.43903332	53.96094683
gbr.47.9.t1	155.4466284	117.7122689	166.3732621
gbr.139.80.t1	23.31021547	35.21804709	36.03871453
gbr.72.126.t1	56.61104573	66.42257537	57.1695224
