Sample:	RNf	RNm	RNw
gbr.105.1.t1	508.9788222	952.9079735	120.8970148
gbr.235.16.t1	8.284710124	13.76635812	1.664687555
gbr.3.102.t1	9.819713452	17.95424764	2.128324409
gbr.55.7.t1	8.790197824	15.6232108	1.502972757
gbr.221.35.t1	4.532265505	6.246945797	1.195269655
gbr.133.29.t1	3.763508156	6.164383611	0.424172849
gbr.226.20.t1	1.711333715	3.248471047	0.126294946
gbr.19.165.t1	941.6191512	1975.635753	540.1191399
gbr.2168.1.t1	12.08695391	21.37118265	0
gbr.31.57.t1_gbr.31.58.t1	3.043669735	3.968755568	1.536370759
gbr.38.85.t1	69.91207931	137.44722	12.60060699
gbr.11.114.t1	11.63956793	19.02918975	1.471429069
gbr.85.22.t1	69.99221257	268.423029	4.445656619
gbr.177.24.t1	1.090194933	0.240983881	0.158390985
gbr.512.14.t1	12.06833365	15.46769631	2.273380396
gbr.142.24.t1	19.47996246	32.38892165	10.17410904
gbr.44.87.t1	9.067740836	13.60342879	2.958727312
gbr.412.14.t1	4.456768304	6.525471453	1.309859417
gbr.400.7.t1_gbr.400.8.t1	7.832579375	11.79064474	1.295358692
gbr.58.43.t1	115.912575	421.1892552	36.1110872
gbr.1669.1.t1	1290.169715	2255.319755	75.98975843
gbr.77.25.t1	4.213049753	5.94463928	0.770739211
gbr.245.11.t1	36.51524761	45.38033195	3.424139082
gbr.112.6.t1	10.38173223	14.18761447	2.113809178
gbr.81.156.t1	4.111789604	8.31496562	0.584331756
gbr.5.5.t1	7.307264448	13.7565286	0.398396405
gbr.396.25.t1	1.36819858	2.781664821	0.286830504
gbr.81.62.t1	11.17401922	5.025513754	0.394069624
gbr.56.80.t1	0.039054753	0.331424134	0
gbr.39.51.t1	7.145877566	9.405795685	0.720926091
gbr.245.6.t1	8.41898105	14.09165511	1.16576627
gbr.317.7.t1	4.213500443	4.512239358	0.347555254
gbr.120.33.t1	5.102384374	6.822955394	1.646816875
gbr.5.36.t1	8.722240161	14.90470601	2.933680669
gbr.134.21.t1	22.89335693	25.99080559	14.39975194
gbr.225.14.t1	16.86232238	21.95757971	6.127644605
gbr.55.75.t1	40.91750152	30.98130722	3.690345748
gbr.164.30.t1	12.3706725	16.76215831	2.907570873
gbr.203.3.t1	81.93678544	107.1466246	35.5931887
gbr.4.97.t1	6.890781985	12.57470231	1.7460784
gbr.304.5.t1	4.239654003	6.607066019	1.789741198
gbr.568.1.t1	5.891775037	6.647749552	1.924752383
gbr.182.30.t1	2.834378814	4.142148282	0.30371117
gbr.18.13.t1	23.98314892	50.99916177	6.898367191
gbr.412.18.t1	1.748587934	2.39594466	0.503971867
gbr.2.71.t1	3.818533269	7.163004392	0.804392249
gbr.75.49.t1	21.98456201	53.03935762	1.769386799
gbr.479.1.t1	1.732133585	3.090853372	0.09313273
gbr.27.49.t1	2.048536728	5.214072242	0.234458631
gbr.46.61.t1	2.486437322	2.767157767	0.590109507
gbr.216.17.t1	1.972382904	2.791018652	1.209276984
gbr.549.5.t1	0.517226646	0.119203322	0.080473677
gbr.232.22.t1	7.820403846	23.84627231	1.114316202
gbr.84.52.t1	0.574562935	10.58382174	0.232716203
gbr.79.31.t1	3.689236496	3.717515484	0.127732889
gbr.34.59.t1	68.58709841	88.90049013	24.76732708
