Sample:	TFf	TFm	TFw
gbr.14.126.t1	2.125773018	1.400433237	0.637533116
gbr.81.106.t1	2.220758763	2.657198589	0.712651394
gbr.117.19.t1	6.539136552	4.624220123	3.709242786
gbr.51.54.t1_gbr.51.55.t1	64.11896666	48.01328012	38.23238557
gbr.61.41.t1	10.42817709	9.160901337	8.197039948
gbr.149.29.t1	4.491743504	3.652295055	2.209637988
gbr.91.20.t1	82.58022114	68.0968762	40.30088985
gbr.4.59.t1	1.953685634	1.96778436	1.218441053
gbr.103.3.t1	10.04314285	7.044494204	4.987802228
gbr.22.4.t1	20.18545079	18.87916302	12.93406057
gbr.201.13.t1	24.486017	21.19323032	17.99317084
gbr.13.48.t1	8.219166261	7.810541857	3.987921185
gbr.185.15.t1	11.96251529	12.6224038	13.85617391
gbr.430.9.t1	13.8697311	9.101000708	4.847467474
gbr.47.31.t1_gbr.47.32.t1	270.1781127	167.8842715	101.7152286
gbr.44.99.t1	18.25733492	10.10718129	10.68640747
gbr.62.37.t1	11.96229208	14.62262232	6.148638083
gbr.319.22.t1	13.21465771	12.05292135	13.26359214
gbr.41.89.t1	8.590826552	8.023379482	5.06097524
gbr.312.6.t1	17.8612515	14.31743031	5.427029597
gbr.99.33.t1	71.94220999	46.38684467	38.35258008
gbr.271.3.t1	7.544880369	6.816220763	4.504008725
gbr.331.4.t1	2.646854192	1.244141748	0.936259883
gbr.161.40.t1_gbr.161.41.t1	6.349624011	3.916928755	3.83115643
gbr.7.18.t1	19.98610561	20.95966027	15.66602337
gbr.225.33.t1	12.52573338	9.746252228	4.489908178
gbr.25.235.t1	2.947576669	3.933730168	1.774524561
gbr.59.75.t1	41.23385197	36.82741575	9.635444526
gbr.80.50.t1	84.28855119	90.19391894	49.54760957
gbr.154.27.t1	778.1176997	533.2951491	577.2301715
gbr.20.104.t1	8.386440029	7.154526064	3.120077616
gbr.202.10.t1	7.336329049	8.73486818	3.339982032
gbr.140.33.t1	1.092323398	0.73693848	0.764410006
gbr.72.137.t1	11.16236022	11.30163806	4.963469932
gbr.205.2.t1	11.21340883	9.380934603	2.271603489
gbr.224.11.t1	45.13307053	35.39377826	22.91623539
gbr.85.17.t1	10.13594497	8.768153788	6.603472357
gbr.375.4.t1	21.55439091	15.11297368	3.2139571
gbr.6.113.t1	23.4766426	14.01256528	8.221995508
gbr.25.88.t1	276.6113336	197.9278694	125.2007639
gbr.353.5.t1_gbr.353.6.t1	31.36102547	21.02606992	19.92175464
gbr.189.24.t1	13.41602906	13.51179645	4.399705168
gbr.1.156.t1	2.464596835	1.685919448	1.107851292
gbr.118.4.t1	1.823437786	1.622061313	1.254912838
gbr.296.24.t1	5.396514604	3.758184283	1.985015151
gbr.217.3.t1	6.301222286	5.64273527	4.499664905
gbr.390.6.t1	7.873144796	6.06191792	2.478235081
gbr.46.26.t1	73.94803495	64.24669517	53.00513385
gbr.91.9.t1	13.3335708	11.45712976	6.692944667
gbr.477.4.t1	25.19941465	23.24677155	20.49191034
gbr.224.15.t1	35.33689481	32.52584586	26.63256592
gbr.41.45.t1	9.500717705	5.542253161	3.689104892
gbr.35.20.t1	16.15239513	9.336825939	3.635272466
gbr.72.22.t1	43.65108197	43.48681085	45.48421256
gbr.11.70.t1	235.7853657	183.8836818	221.1385652
gbr.64.39.t1	5.663687155	5.514125627	4.089734858
gbr.183.32.t1	2.29147549	1.477332549	0.883647184
gbr.30.47.t1	16.546897	15.27946155	9.213254407
gbr.229.22.t1	56.41790568	53.02855058	46.4757982
gbr.567.9.t1	13.12147309	12.01300867	6.83755048
gbr.47.7.t1	65.48527863	53.19276856	41.8823082
gbr.49.55.t1	1.799123569	1.621078945	1.082118162
gbr.38.2.t1	77.18493833	68.13351496	66.36513053
