Sample:	All_female	All_male	All_wtr
gbr.76.98.t1	16.91502416	12.89327462	10.02537825
gbr.77.11.t1	8.44312256	6.055065986	5.380761948
gbr.77.21.t1	16.89202782	12.24246736	5.590485764
gbr.77.25.t1	7.135369682	8.235887268	5.810034821
gbr.77.26.t1	2.494517885	2.358921104	1.446081632
gbr.77.97.t1	33.16451327	35.63697282	21.20319539
gbr.78.15.t1	2.399182143	3.424130608	1.099773334
gbr.78.34.t1	2.97082995	2.937091046	1.116059816
gbr.79.31.t1	3.533872365	4.437798744	2.155630826
gbr.79.46.t1	13.71291001	11.23559723	9.998228245
gbr.790.1.t1	5.276847963	4.060210378	1.176526241
gbr.8.100.t1	4.913647505	5.194864475	3.267674532
gbr.8.120.t1	6.197434148	6.249593509	4.927388549
gbr.8.129.t1	12.6993334	10.95832179	14.24574921
gbr.8.130.t1	208.8148054	100.0888079	136.5571153
gbr.8.140.t1	3.649886543	4.01003403	2.252312631
gbr.8.23.t1	5.774316804	7.3362203	2.893953688
gbr.8.34.t1	4.884925174	5.045469978	2.580935442
gbr.8.46.t1	74.00395315	84.00503296	50.76321184
gbr.8.72.t1	31.87878666	37.39425799	20.72411098
gbr.8.90.t1	1.450140093	1.662802816	1.242667867
gbr.80.20.t1	156.7571232	164.0117176	109.6348226
gbr.80.33.t1	17.66672965	17.98947988	17.96838907
gbr.80.34.t1	21.10029239	19.50533393	10.91876202
gbr.80.39.t1	142.1185048	164.9942298	113.2176235
gbr.80.4.t1	32.81110099	28.38339987	24.24746017
gbr.80.50.t1	45.99823805	42.0162947	37.37752769
gbr.81.103.t1	41.33555619	39.12334862	26.88078447
gbr.81.106.t1	2.090333897	1.663868456	1.107951894
gbr.81.114.t1	2.785954184	1.858774331	1.904696809
gbr.81.135.t1	5.77154909	4.958798914	3.035416398
gbr.81.156.t1	7.334931597	10.25017272	3.768814307
gbr.81.178.t1	6.915261684	7.07576198	6.04190167
gbr.81.197.t1	7.795781532	8.290160311	5.372475067
gbr.81.204.t1	4.396837884	5.983677369	3.084687118
gbr.81.209.t1	231.4165696	82.35648728	56.22852495
gbr.81.62.t1	170.3710885	234.3124912	79.51600899
gbr.81.70.t1	3.255416995	2.083665457	1.899599015
gbr.81.75.t1	4.040965618	5.779457967	2.279047844
gbr.81.80.t1	71.82849787	59.55239996	39.72905678
gbr.81.81.t1	63.3004207	39.7250139	20.56132504
gbr.81.83.t1	19.62048121	20.22047806	17.36203936
gbr.81.87.t1	7.463918415	7.800738928	5.942352511
gbr.81.89.t1	20.00281165	20.71909843	10.62095505
gbr.82.16.t1	6.803678747	6.779065353	5.194978973
gbr.82.24.t1	17.66429761	15.78198932	9.90186025
gbr.82.26.t1	311.5153966	170.9586626	117.4347967
gbr.82.27.t1	380.1080744	218.4823998	130.593332
gbr.82.37.t1	2.416501973	3.204464873	2.75424231
gbr.83.29.t1	13.56147181	11.1904415	9.667027426
gbr.83.56.t1	6.937067938	7.130060981	4.434578108
gbr.83.58.t1	78.13729736	77.01524781	62.42081032
gbr.830.1.t1	14.06841685	22.49124786	9.568103682
gbr.84.14.t1	16.3323881	17.81164652	12.50911774
gbr.84.21.t1_gbr.84.22.t1	193.5735204	183.5044739	118.9350278
gbr.84.4.t1	8.130399212	8.346080627	7.900863635
gbr.84.45.t1	84.40735803	81.11123923	61.98894545
gbr.84.52.t1	6.983924272	9.686541982	2.986707619
gbr.84.65.t1	34.34935556	38.51655766	32.78641682
gbr.847.1.t1	27.67022804	31.63997268	15.29968443
gbr.85.11.t1_gbr.85.12.t1	28.99998349	30.64096245	25.47265307
gbr.85.15.t1	9.669643148	9.59928301	5.221831844
gbr.85.17.t1	7.780829133	7.091860613	6.068126222
gbr.85.18.t1	28.3546547	30.67913444	18.54505168
gbr.85.21.t1	642.4998659	445.3264502	86.69872842
gbr.85.22.t1	206.1436809	309.0121898	85.65134579
gbr.85.41.t1	11.10337647	10.6091628	7.944757617
gbr.856.6.t1	26.57558269	34.1293187	14.78362144
gbr.86.29.t1	3.351287673	3.359878387	2.709038694
gbr.86.37.t1	0.746405016	0.707149845	0.09191591
gbr.86.7.t1	1.371672041	2.389301376	0.420499682
gbr.87.36.t1	7.9472619	6.401919767	3.847606691
gbr.87.4.t1_gbr.87.5.t1	6.455601199	5.624019064	3.762359097
gbr.87.41.t1	3.438472667	4.033855247	3.623502528
gbr.88.13.t1	14.16913311	14.58685864	8.935529418
gbr.88.26.t1	49.20060062	54.35088001	27.83692436
gbr.88.4.t1	12.40124943	11.99885688	9.888392811
gbr.88.43.t1	43.95197645	75.38849928	37.05932918
gbr.88.49.t1	12.00734057	11.25279981	10.56046545
gbr.89.33.t1	59.86480122	71.0277219	58.60019136
gbr.89.34.t1	30.56777237	34.56065114	21.78512047
gbr.89.37.t1	3.090219129	4.361547191	2.141183202
gbr.896.2.t1	624.9836184	396.1359617	243.673119
gbr.9.10.t1	18.11189623	15.96140206	14.30051595
gbr.9.100.t1_gbr.9.101.t1	4.212135734	4.396063609	2.973084742
gbr.9.4.t1	12.81041314	10.77868788	5.20527006
gbr.9.69.t1	2.395039999	2.39973953	1.347149207
gbr.9.70.t1	9.049135195	9.576080622	4.697866938
gbr.9.78.t1	366.9301832	863.4667739	469.2316646
gbr.9.88.t1	13.37994005	16.36024605	8.762348452
gbr.9.89.t1	2.275624869	2.335825745	1.18962174
gbr.9.95.t1	2.799644677	2.765038753	2.220752533
gbr.90.101.t1	4.166123804	3.922468483	2.128460742
gbr.90.104.t1	4.378828641	4.311963252	3.460885481
gbr.90.109.t1	2.416212755	2.532168732	1.659825154
gbr.90.139.t1	69.78279968	51.12524481	33.27133998
gbr.90.146.t1	75.48914854	66.20145814	42.99382292
gbr.90.40.t1	517.8410239	321.5193113	192.8746031
gbr.90.46.t1	3.526431685	3.820930228	3.377603141
gbr.90.53.t1	85.20008256	95.92167442	94.2746676
gbr.90.56.t1	116.4708484	144.8834097	71.34373802
gbr.90.91.t1	15.39511236	16.4663916	5.292902356
gbr.90.98.t1	3.605831737	4.149901502	1.449362284
gbr.91.20.t1	123.6455704	103.2383126	77.14254971
gbr.91.7.t1	10.43628656	7.659903179	7.507314143
gbr.91.8.t1	54.03032154	55.10934889	25.26376968
gbr.91.9.t1	15.11181472	12.51337841	8.546037593
gbr.92.6.t1	26.57380169	38.42356208	23.77735098
gbr.93.24.t1	14.58179827	16.10652252	12.22207012
gbr.93.4.t1	1.417932446	1.879410892	1.448593485
gbr.93.40.t1	94.20906063	123.1120546	70.22129012
gbr.93.7.t1	3.140226029	3.5038023	1.863873549
gbr.94.50.t1	161.6144295	179.5193681	127.7131721
gbr.95.39.t1	20.61435855	19.68967844	13.91771491
gbr.96.44.t1_gbr.96.45.t1	5.96423066	6.328445063	4.146725663
gbr.97.1.t1_gbr.97.4.t1	8.111802394	6.871486619	6.344031851
gbr.97.31.t1	9.519120562	9.312188958	5.12528399
gbr.97.32.t1_gbr.97.34.t1	2.154987331	2.206693722	1.638634552
gbr.97.37.t1	94.1698501	97.061345	78.30660641
gbr.97.67.t1	9.048265654	7.545898758	5.03078525
gbr.98.2.t1	1.424686158	1.758757402	0.539043392
gbr.98.20.t1	7.628959186	6.955851198	5.542012968
gbr.98.42.t1	12.34198494	14.62405028	5.56476926
gbr.98.5.t1	37.78357611	33.50232601	17.57589479
gbr.98.62.t1	44.26849994	40.28436861	24.42511323
gbr.98.63.t1	9.419461028	11.02560648	5.757790159
gbr.98.84.t1	37.76694099	27.90061541	23.23847048
gbr.98.90.t1	30.17822945	31.31355495	22.69422636
gbr.99.13.t1	3.341772614	3.608267096	2.153138275
gbr.99.33.t1	70.84005597	52.04301261	29.40367048
gbr.99.34.t1	6.800330232	5.851839127	3.05376376
gbr.99.43.t1	25.48626168	34.20235758	12.13608642
