Sample:	Cof	Com	Cow
gbr.402.4.t1	3.633161976	1.415991582	0.268734655
gbr.76.86.t1	3.825713675	3.968961446	3.158869642
gbr.596.6.t1	47.3610792	38.33173345	39.2358152
gbr.115.4.t1	5.443299729	5.4749588	3.053845038
gbr.66.43.t1	4.409849455	3.425779193	2.720209638
gbr.41.69.t1	135.4768471	154.4281359	30.71023865
gbr.30.61.t1_gbr.30.63.t1	0.053057502	0.00961658	0.142946594
gbr.411.15.t1	5.682736199	3.38531358	1.141751146
gbr.102.38.t1	1.860880397	0.349950558	0.55853114
gbr.25.122.t1	36.11055983	12.89798712	9.426744733
gbr.186.11.t1	3.896069322	1.88885705	1.404844961
gbr.25.79.t1	0.967686794	0.583435263	0.089060733
gbr.164.6.t1	2.496263008	3.334798387	2.368489474
gbr.237.12.t1	0.478768622	0.074443327	0.061027205
gbr.3.193.t1	0.462877617	0.384854275	0.298157441
gbr.25.224.t1	91.01990612	75.93583624	51.57577646
gbr.288.4.t1	4.002741999	2.472302594	1.50404403
gbr.98.90.t1	15.65212212	8.687739428	4.952627149
gbr.80.20.t1	89.42227199	66.55415149	68.97890509
gbr.90.109.t1	0.880722611	0.31464942	0.204748283
gbr.429.3.t1	123.3238241	123.1809569	59.29908459
gbr.169.24.t1	1.800655031	1.632115567	0.06447
gbr.9.100.t1_gbr.9.101.t1	1.528568099	0.824772482	1.206685308
gbr.23.24.t1	5.48409747	2.783500383	4.598642367
gbr.278.6.t1	10.11133612	9.40828277	2.983748793
gbr.65.67.t1	0.388564852	1.185661535	0.270518521
gbr.147.15.t1_gbr.147.14.t1	2.351237197	1.284137667	0.59002907
gbr.103.26.t1	32.9141785	41.13697868	10.36825576
gbr.209.4.t1	235.1708077	319.7303359	182.6691371
gbr.18.39.t1	1.501664464	0.815045256	0.831276897
gbr.332.5.t1	7.186327404	4.107045806	4.434312013
gbr.4.10.t1	1.37732364	0.454108964	0.341441881
gbr.75.46.t1_gbr.75.47.t1	7.274949591	3.737852312	0.62248484
