Sample:	Paf	Pam	Paw
gbr.81.75.t1	3.632536398	9.193718892	3.519991119
gbr.110.82.t1	58.26879284	65.48393827	46.44761206
gbr.284.23.t1	10.53454692	12.51305691	7.087034824
gbr.73.54.t1	0.660476927	0.630235063	0.800691227
gbr.302.18.t1	26.80805229	41.38350124	13.24965031
gbr.405.13.t1	3078.540622	3563.726061	1751.996335
gbr.45.49.t1	14.01886218	19.28469752	13.93939897
gbr.167.19.t1	17.10586974	19.40550071	14.62712152
gbr.130.45.t1	48.4137074	47.85248133	51.54591268
gbr.6.159.t1	70.54258058	75.51364606	67.16977741
gbr.409.1.t1	13.59647984	18.03924537	13.57124312
gbr.84.4.t1	12.86285655	8.412593545	16.37714884
gbr.172.41.t1	37.52628672	43.55626687	37.21696495
gbr.59.34.t1	16.05404623	19.22100659	14.98892832
gbr.108.17.t1	97.63487358	123.6268706	69.05937402
gbr.3.13.t1	39.02113608	47.84932642	41.99780599
gbr.360.11.t1	3.01686873	3.005483208	1.920180364
gbr.3.85.t1	34.21491212	36.95399061	33.34120119
gbr.32.56.t1	159.3087123	178.4992992	187.3509189
gbr.211.13.t1	4.737309004	7.768667612	6.274637823
gbr.270.3.t1	62.59888905	111.6600745	71.90809223
gbr.17.63.t1	228.4424493	227.1575324	209.7021181
gbr.343.15.t1	2.498118386	3.83097046	1.553747097
gbr.142.65.t1	10.22983393	13.21424934	9.064036295
gbr.488.1.t1	39.73396892	80.68291986	36.43232867
gbr.136.37.t1	8.593806226	12.49201036	7.806362578
gbr.105.28.t1_gbr.105.26.t1	33.18881114	39.1196446	39.26924256
gbr.41.15.t1	27.06312333	25.33420774	19.00524488
gbr.43.3.t1	20.66885989	29.87445129	27.05251165
gbr.224.3.t1_gbr.224.5.t1	4.51820805	8.34918186	4.509352611
gbr.243.7.t1	11.23980978	13.41478354	5.321729639
gbr.345.3.t1	36.67760705	40.78719381	29.39534686
gbr.478.5.t1	15.60296894	23.12665087	14.88641835
gbr.5.31.t1	7.935894306	8.987236197	6.362758278
gbr.309.23.t1	39.75471832	61.02277016	29.12071965
gbr.56.17.t1	42.44781094	62.27661268	45.61823728
gbr.10.30.t1	6.533025555	8.160874193	4.849064321
gbr.5.102.t1	71.5325373	71.8051118	67.42942829
gbr.137.24.t1	85.47554158	77.29511816	95.55216481
gbr.102.3.t1	5.896403274	8.536860616	6.403218233
gbr.105.37.t1	4.604444565	7.235874304	3.056747191
gbr.58.50.t1	60.56816836	78.94860234	54.02648722
gbr.830.1.t1	39.55466077	79.30128456	30.52182486
gbr.53.32.t1	26.3438709	33.90079813	23.92975696
gbr.31.79.t1	7.851831575	7.54929678	8.182626378
gbr.37.84.t1	24.73093745	45.6610055	18.23268865
gbr.2.9.t1	18.01978268	21.95669887	17.59606401
